osm_type,id,categoria,lat,lon,name,sin_nombre
node,8940513392,luminaria,4.7208267,-74.0338117,Sin registro,True
node,8940513402,luminaria,4.7209401,-74.0339912,Sin registro,True
node,8940513406,luminaria,4.7211126,-74.0339339,Sin registro,True
node,8940513409,luminaria,4.7212842,-74.0338749,Sin registro,True
node,8940513412,luminaria,4.7213472,-74.0337933,Sin registro,True
node,8994609530,luminaria,4.721647,-74.0344168,Sin registro,True
node,8994609531,luminaria,4.7215969,-74.0344361,Sin registro,True
node,8994609532,luminaria,4.721544,-74.0344551,Sin registro,True
node,9424419626,luminaria,4.6445445,-74.0683624,Sin registro,True
node,9424419627,luminaria,4.644477,-74.0679715,Sin registro,True
node,9496905167,luminaria,4.6671304,-74.0958308,Sin registro,True
node,9733821480,luminaria,4.7096917,-74.0615606,Sin registro,True
node,9733821481,luminaria,4.7095309,-74.0615691,Sin registro,True
node,9733821482,luminaria,4.7093728,-74.061581,Sin registro,True
node,9733821483,luminaria,4.7092111,-74.0616226,Sin registro,True
node,9733821484,luminaria,4.7092859,-74.0615578,Sin registro,True
node,9733821485,luminaria,4.709529,-74.0615409,Sin registro,True
node,9733821486,luminaria,4.7097637,-74.06154,Sin registro,True
node,10260674994,luminaria,4.6682367,-74.0470701,Sin registro,True
node,10260707350,luminaria,4.6684061,-74.0469868,Sin registro,True
node,10260761453,luminaria,4.6684388,-74.0470473,Sin registro,True
node,10260763250,luminaria,4.6683073,-74.0470816,Sin registro,True
node,10260795970,luminaria,4.6677922,-74.0462083,Sin registro,True
node,10260796564,luminaria,4.6677926,-74.0460631,Sin registro,True
node,10260807500,luminaria,4.6683983,-74.0469266,Sin registro,True
node,10983435326,luminaria,4.7085685,-74.0539204,Sin registro,True
node,10983435458,luminaria,4.7087383,-74.0540062,Sin registro,True
node,10983465007,luminaria,4.7088669,-74.0547422,Sin registro,True
node,10983465029,luminaria,4.7087723,-74.0544806,Sin registro,True
node,10983465036,luminaria,4.7087797,-74.054253,Sin registro,True
node,10983473148,luminaria,4.7081198,-74.0540247,Sin registro,True
node,10983473155,luminaria,4.7079219,-74.0543512,Sin registro,True
node,10983473156,luminaria,4.707813,-74.0543237,Sin registro,True
node,10983473168,luminaria,4.7076666,-74.0545759,Sin registro,True
node,10983473173,luminaria,4.707518,-74.054824,Sin registro,True
node,10983473177,luminaria,4.7073733,-74.0550761,Sin registro,True
node,10983473182,luminaria,4.7072455,-74.0553567,Sin registro,True
node,10983473188,luminaria,4.7072737,-74.0556273,Sin registro,True
node,10983483858,luminaria,4.7089474,-74.0552543,Sin registro,True
node,10983483867,luminaria,4.7089094,-74.0550266,Sin registro,True
node,10984527767,luminaria,4.7080172,-74.0551328,Sin registro,True
node,10984527768,luminaria,4.708214,-74.0551002,Sin registro,True
